longitude,latitude,COUNTRY
-172.1458821,-13.76075125,Samoa
-174.6821765,-20.05925094,Tonga
-88.85911489,13.75804152,El Salvador
-90.31219349,15.82087852,Guatemala
-103.1204394,23.64394843,Mexico
-93.56663466,62.36587198,Canada
-64.44315167,-37.60564453,Argentina
-81.25545034,-34.32823756,Chile
-82.33897596,-1.298065434,Ecuador
-74.11416197,-8.522717984,Peru
-64.45209598,-16.73124884,Bolivia
-54.35520661,-11.52463042,Brazil
-58.38906357,-23.42190559,Paraguay
-56.01919523,-32.78195044,Uruguay
178.6951729,-17.62052427,Fiji
-61.79187003,17.32188359,Antigua and Barbuda
-75.94757049,23.97198084,Bahamas
-59.55738395,13.18321937,Barbados
-88.5802148,17.29459369,Belize
-73.84582518,5.29423461,Colombia
-84.14673626,9.863467407,Costa Rica
-79.64596526,21.50036821,Cuba
-61.36047195,15.42926986,Dominica
-70.40475974,18.755426,Dominican Republic
-61.67937937,12.11292666,Grenada
-58.91352613,4.682119814,Guyana
-72.88622714,18.91176863,Haiti
-86.48189285,14.81443361,Honduras
-77.30358895,18.12207889,Jamaica
-85.01608833,12.89356663,Nicaragua
-80.17590176,8.422311846,Panama
-62.74560386,17.3147363,Saint Kitts and Nevis
-60.96895109,13.89574919,Saint Lucia
-61.19376635,13.25480812,Saint Vincent and the Grenadines
-55.85551431,4.098723596,Suriname
-61.21970216,10.58005576,Trinidad and Tobago
-66.36112353,7.162820598,Venezuela
-1.693281621,12.10870904,Burkina Faso
-23.96744314,16.0683021,Cabo Verde
-5.571710195,7.536779279,C�te d'Ivoire
-15.38338039,13.42861796,Gambia
-1.219233363,7.945304672,Ghana
-10.98694885,10.25598654,Guinea
-15.1530597,11.89051006,Guinea-Bissau
-9.258988935,6.520129794,Liberia
-4.346399842,17.16814621,Mali
-10.49507905,20.46673121,Mauritania
-8.817212587,28.68759813,Morocco
-16.83265693,38.02028834,Portugal
-14.61087537,14.22886149,Senegal
-11.80878157,8.543593293,Sierra Leone
-8.258826762,53.30614676,Ireland
-3.156995563,54.90083228,United Kingdom
-19.05682967,65.1236092,Iceland
56.86665418,-43.65747885,New Zealand
17.47800805,-11.89758948,Angola
23.85779957,-22.236609,Botswana
29.88518228,-3.261251993,Burundi
43.81817519,-11.9694456,Comoros
14.87973285,-0.72943916,Congo
23.41982757,-3.338629596,Democratic Republic of the Congo
11.8394109,-0.62844846,Gabon
37.95309411,0.689918232,Kenya
28.24475318,-29.60168117,Lesotho
34.23441182,-13.12898646,Malawi
35.20857703,-17.52523031,Mozambique
18.16451346,-21.90858163,Namibia
29.91943968,-2.01468746,Rwanda
6.911986725,0.772833071,Sao Tome and Principe
27.57823134,-32.72976617,South Africa
31.51068575,-26.56254094,Eswatini
34.93574265,-6.353604204,Tanzania
27.75521363,-13.16283295,Zambia
29.71782964,-18.92700122,Zimbabwe
46.68493467,-19.04163612,Madagascar
59.68861272,-20.0605017,Mauritius
51.28904175,-6.847341132,Seychelles
2.655846472,28.35096974,Algeria
2.305714529,9.5030132,Benin
12.94847414,6.294168487,Cameroon
20.52074342,6.331390034,Central African Republic
18.4271139,15.28349355,Chad
9.917747922,2.163453011,Equatorial Guinea
-42.29462748,1.686077416,Kiribati
17.91133392,27.20291577,Libya
14.44192244,35.89052265,Malta
8.86863247,17.08105392,Niger
8.147632719,9.609707376,Nigeria
0.899085757,8.660743038,Togo
9.655875517,34.0863618,Tunisia
33.37534601,35.11700416,Cyprus
42.6134969,11.75023573,Djibouti
30.24013544,26.60517034,Egypt
39.26724014,15.00553315,Eritrea
39.91490289,8.729389557,Ethiopia
24.25559639,38.41864937,Greece
43.83252918,33.10507567,Iraq
35.02792347,31.51354222,Israel
36.95728885,31.38706488,Jordan
35.89651946,33.91160171,Lebanon
35.03083099,31.82082842,Palestine
30.38518569,7.657782042,South Sudan
29.95145828,15.67060231,Sudan
38.51173231,35.09751106,Syria
35.09557206,39.09097225,Turkey
32.34371768,1.282172922,Uganda
1.580224361,42.54859835,Andorra
-127.7638574,42.46427187,United States
2.936178132,46.2041093,France
9.547674672,47.14627562,Liechtenstein
7.412820873,43.74798225,Monaco
8.286928795,46.73678129,Switzerland
4.675010155,50.61821389,Belgium
10.46159125,51.14928159,Germany
6.103230338,49.77523455,Luxembourg
5.474576853,52.13751519,Netherlands
20.06108277,41.14165895,Albania
13.79777836,47.63185827,Austria
17.83467241,44.14415356,Bosnia and Herzegovina
16.78281841,44.64931472,Croatia
15.38327329,49.74917371,Czech Republic
11.00211248,55.91555313,Denmark
19.39620048,47.22527332,Hungary
12.24669593,41.99599185,Italy
19.29505087,42.73694835,Montenegro
19.43573279,52.06848056,Poland
12.46127835,43.94282073,San Marino
20.85677444,44.0267987,Serbia
19.58101536,48.69808391,Slovakia
14.8906369,46.1375923,Slovenia
21.70998924,41.5940289,North Macedonia
12.45131292,41.90402351,Vatican City
16.46369614,65.18711089,Norway
17.27728983,62.46541151,Sweden
27.96425205,53.46791375,Belarus
25.25173912,42.82043677,Bulgaria
25.23640542,58.57756954,Estonia
25.19659638,64.81356381,Finland
43.37886653,42.17986278,Georgia
24.69367133,56.81385305,Latvia
23.88937098,55.28904028,Lithuania
28.39111187,47.07256746,Moldova
25.0941582,45.82454894,Romania
31.27377208,48.65753252,Ukraine
66.59216131,34.13402601,Afghanistan
50.62094027,25.96443467,Bahrain
82.83375237,20.68839364,India
54.237077,32.90602374,Iran
47.63141384,29.30657194,Kuwait
73.23878261,3.239115384,Maldives
84.13388983,28.3009207,Nepal
55.89703044,21.08081468,Oman
69.08835091,30.11618837,Pakistan
51.19794919,25.31852849,Qatar
44.54714297,24.07547608,Saudi Arabia
45.40037867,6.524534573,Somalia
80.65376391,7.719586214,Sri Lanka
70.94215281,38.56933138,Tajikistan
58.45773576,39.06069118,Turkmenistan
54.27920526,24.18250292,United Arab Emirates
48.47121493,15.25059827,Yemen
45.05490832,40.17841274,Armenia
48.39830514,40.33497634,Azerbaijan
66.37591935,47.6414652,Kazakhstan
74.17532903,41.35698905,Kyrgyzstan
63.85482976,41.48790652,Uzbekistan
118.7358606,-2.307933354,Indonesia
125.668174,-8.798839647,Timor-Leste
137.1165643,-30.13416028,Australia
166.9293763,-0.522102144,Nauru
148.1803959,-6.430015997,Papua New Guinea
160.9666346,-9.760237066,Solomon Islands
177.7908632,-7.077587265,Tuvalu
168.034015,-16.47965833,Vanuatu
105.0397308,12.69918687,Cambodia
103.763759,18.11728274,Laos
109.3882544,4.304358978,Malaysia
97.08691545,19.77737658,Myanmar
103.8102576,1.352825189,Singapore
101.0686062,13.59647503,Thailand
105.7911032,16.37429105,Vietnam
90.43212563,23.67372867,Bangladesh
90.46716647,27.42163934,Bhutan
105.4512055,37.45864008,China
114.793624,4.52456453,Brunei
121.8696493,10.8032505,Philippines
127.6313876,36.05236464,South Korea
103.398736,47.08644455,Mongolia
127.3379806,40.19198091,North Korea
135.4464961,35.83580347,Japan
167.4718543,10.05105442,Marshall Islands
160.4198131,6.160651744,Micronesia
134.5666403,7.507585985,Palau
98.96988772,61.45264294,Russia
-2.942967336,40.03038548,Spain
